Time elapsed was 460908269212ns or 460.908269212s
Time elapsed was 462321130922ns or 462.321130922s
Time elapsed was 462847750805ns or 462.847750805s
Time elapsed was 461514390833ns or 461.514390833s
Time elapsed was 462169809672ns or 462.169809672s
Time elapsed was 462853416904ns or 462.853416904s
Time elapsed was 462600172667ns or 462.600172667s
Time elapsed was 460911991449ns or 460.911991449s
Time elapsed was 463560281770ns or 463.560281770s
Time elapsed was 460369113731ns or 460.369113731s
