0,25.99
1,27.89
2,29.79
3,31.69
4,33.59
5,35.49
6,37.39
7,39.29
8,41.19
9,43.09
10,44.99
11,46.89
12,48.79
13,50.69
14,52.59
15,54.49
16,56.39
17,58.29
18,60.19
19,62.09
20,63.99
21,65.89
22,67.79
23,69.69
24,71.59
25,73.49
26,75.39
27,77.29
28,79.19
29,81.09
30,82.99
31,84.89
32,86.79
33,88.69
34,90.59
35,92.49
36,94.39
37,96.29
38,98.19
39,100.09
40,101.99
41,103.89
42,105.79
43,107.69
44,109.59
45,111.49
46,113.39
47,115.29
48,117.19
49,119.09
50,120.99
51,122.89
52,124.79
53,126.69
54,128.59
55,130.49
56,132.39
57,134.29
58,136.19
59,138.09
60,139.99
61,141.89
62,143.79
63,145.69
64,147.59
65,149.49
66,151.39
67,153.29
68,155.19
69,157.09
70,158.99
71,160.89
72,162.79
73,164.69
74,166.59
75,168.49
76,170.39
77,172.29
78,174.19
79,176.09
80,177.99
81,179.89
82,181.79
83,183.69
84,185.59
85,187.49
86,189.39
87,191.29
88,193.19
89,195.09
90,196.99
91,198.89
92,200.79
93,202.69
94,204.59
95,206.49
96,208.39
97,210.29
98,212.19
99,214.09
