Time elapsed was 169244ns or 0.000169244s
Time elapsed was 197507ns or 0.000197507s
Time elapsed was 268498ns or 0.000268498s
Time elapsed was 124193ns or 0.000124193s
Time elapsed was 244304ns or 0.000244304s
Time elapsed was 681980ns or 0.000681980s
Time elapsed was 327178ns or 0.000327178s
Time elapsed was 167262ns or 0.000167262s
Time elapsed was 202516ns or 0.000202516s
Time elapsed was 196203ns or 0.000196203s
